default_code|name|description|sale_ok|purchase_ok|can_be_expensed|type|list_price|standard_price|barcode|categ_id|categ_parent_1|categ_parent_2|categ_parent_3|categ_parent_4|categ_parent_5|incoming_inspection|manufacturer_pref|warranty|warranty_type|lead_time|lead_time_type|rohs_regulation|manufacturer_purl|manufacturer_id|active|arancel_id|ecoraee_active|tracking|weight|intrastat_id|default_ubication|optional_product_ids|route_ids|version|uom_id|uom_po_id|invoice_policy|event_ok|customer_ids|description_sale|sale_line_warn|responsible_id|volume|produce_delay|sale_delay|hs_code|description_pickingout|description_pickingin|description_picking|intrastat_origin_country_id
REP-32909/00862|REPARACION EQUIPO CON S/N 32909||Sí|Sí|No|product|63,2392769230769|41,10553|http://server7/qr-almacen/?ref=REP-32909-00862&token=93374a24d8387ac797ccb3196a5b44db||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-32909/00862|2|year|22|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-32909/02752|REPARACIÓN 32909 SERVI||Sí|Sí|No|product|50,29671|32,69286|http://server7/qr-almacen/?ref=REP-32909-02752&token=2895dd43957b8d22cb4c38d7c85b5a10||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-32909/02752||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-32909/03159|REPARACIÓN PPR/6766 - 32909||Sí|Sí|No|product|67,5|43,875|http://server7/qr-almacen/?ref=REP-32909-03159&token=5d8ef6e4bab740498a10108e8baa24e8||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-32909/03159||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-32910/01469|REPARACION EQUIPO||Sí|Sí|No|product|412,501384615385|268,1259|http://server7/qr-almacen/?ref=REP-32910-01469&token=3c2005a962172c8c271dd2ae8f265992||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-32910/01469||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-32923/02459|REPARACIÓN EQUIPO||Sí|Sí|No|product|67,5|43,875|http://server7/qr-almacen/?ref=REP-32923-02459&token=b98cddd26acb801058eee8fddd0df9dc||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-32923/02459||year|15|day|No||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-32934/02592|REPARACIÓN SERVI 32934||Sí|Sí|No|product|297,51748|193,38636|http://server7/qr-almacen/?ref=REP-32934-02592&token=ba8c021f61218cfc0b05fd617b6161e7||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-32934/02592||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-32936/03783|REPARACIÓN 32936||Sí|Sí|No|product|233,02308|151,465|http://server7/qr-almacen/?ref=REP-32936-03783&token=4e6dcb5ba5d48a81fef0ebfc0038424b||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-32936/03783||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-33020/02274|REPARACIÓN EQUIPO||Sí|Sí|No|product|258,01374|167,70893|http://server7/qr-almacen/?ref=REP-33020-02274&token=8c3a81e8605737cfa5adca5aeda4323a||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-33020/02274||year|15|day|No||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-33020/03496|REPARACIÓN PPR/7432-33020||Sí|Sí|No|product|67,5|43,875|http://server7/qr-almacen/?ref=REP-33020-03496&token=5fd75bd8dabb6596dc914d1e3f5a187b||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-33020/03496||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-33020/03589|REPARACIÓN PPR/7695-33020||Sí|Sí|No|product|362,82763|235,83796|http://server7/qr-almacen/?ref=REP-33020-03589&token=7f79c24f39ca6bbee8b70a0f82216d51||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-33020/03589||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-33024/03700|REPARACIÓN 33024||Sí|Sí|No|product|497,66466|323,48203|http://server7/qr-almacen/?ref=REP-33024-03700&token=21c04819f4f157f30741094b9b8f0235||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-33024/03700||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-33026/03661|REPARACIÓN EQUIPO 33026 BG ALMERIA||Sí|Sí|No|product|573,35538|372,681|http://server7/qr-almacen/?ref=REP-33026-03661&token=a2bc1e203d657a55b2cc078c462faa38||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-33026/03661||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-33028/03686|REPARACIÓN EQUIPO S/N: 33028||Sí|Sí|No|product|67,5|43,875|http://server7/qr-almacen/?ref=REP-33028-03686&token=907f5e69d0950d76b2ab0b6133b63f73||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-33028/03686||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-33030/02645|REPARACIÓN 33030 SERVI||Sí|Sí|No|product|72,79578|47,31726|http://server7/qr-almacen/?ref=REP-33030-02645&token=02fd6e9b63b082567cc2c27902282184||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-33030/02645||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-33030/02857|REPARACIÓN 33030 SERVI||Sí|Sí|No|product|737,51351|479,38378|http://server7/qr-almacen/?ref=REP-33030-02857&token=dcadbf496f834d67d8749161c2e2b9f5||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-33030/02857||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-33046/03210|REPARACIÓN PPR/6834 - 33046||Sí|Sí|No|product|67,5|43,875|http://server7/qr-almacen/?ref=REP-33046-03210&token=d79de84294eea9be6050f5ab881fef65||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-33046/03210||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-33096/03823|REPARACIÓN 33096||Sí|Sí|No|product|233,02308|151,465|http://server7/qr-almacen/?ref=REP-33096-03823&token=47483fec77d914e2d9fb92e8a9a27d0a||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-33096/03823||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-33101/01423|REPARACION EQUIPO CON S/N 33101||Sí|Sí|No|product|330,115938461538|214,57536|http://server7/qr-almacen/?ref=REP-33101-01423&token=db9d555ba586409fdaad3a41de20e09a||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-33101/01423||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-33105/03092|REPARACIÓN PPR/6646 - 33105||Sí|Sí|No|product|90|58,5|http://server7/qr-almacen/?ref=REP-33105-03092&token=b28f4afd2a3ee5f0d53c38f4800f61d6||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-33105/03092||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-33105/03496|REPARACIÓN PPR/7447-33105||Sí|Sí|No|product|0|0|http://server7/qr-almacen/?ref=REP-33105-03496&token=2c11219fda7ee5703b22edcaba984d9b||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-33105/03496||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-33106/02423|REPARACIÓN 33106||Sí|Sí|No|product|281,114292307692|182,72429|http://server7/qr-almacen/?ref=REP-33106-02423&token=b0a13678862c638d32f7ff2110a4bcd2||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-33106/02423||year|15|day|No||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-33110/02840|REPARACIÓN 33110 SERVI||Sí|Sí|No|product|515,92392|335,35055|http://server7/qr-almacen/?ref=REP-33110-02840&token=126c41d8869cd3a3c82ca30195a0c064||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-33110/02840||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-33154/03634|REPARACIÓN 33154||Sí|Sí|No|product|67,5|43,875|http://server7/qr-almacen/?ref=REP-33154-03634&token=9987b4b4da9675a9c30d33d03f5dc33b||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-33154/03634||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-33155/01201|REPARACION EQUIPO CON S/N: 33155||Sí|Sí|No|product|325,661138461538|211,67974|http://server7/qr-almacen/?ref=REP-33155-01201&token=f9c0bc7c1eec326fbc7841dc3053266a||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-33155/01201||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-33163/01875|REPARACIÓN EQUIPO||Sí|Sí|No|product|76,6702|49,83563|http://server7/qr-almacen/?ref=REP-33163-01875&token=8706957616cedfaef891f708a5381440||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-33163/01875||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-33166/02074|REPARACIÓN ||Sí|Sí|No|product|180,00512|117,00333|http://server7/qr-almacen/?ref=REP-33166-02074&token=3ee0c1cb1ba436b20d77f91e165c0b05||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-33166/02074||year|15|day|No||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-33166/02321|REPARACIÓN EQUIPO||Sí|Sí|No|product|45|29,25|http://server7/qr-almacen/?ref=REP-33166-02321&token=6082c7bd39a9c91bfd5fb1300642f66b||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-33166/02321||year|15|day|No||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-33166/03225|REPARACIÓN PPR/6149 - 33166||Sí|Sí|No|product|224,73077|146,075|http://server7/qr-almacen/?ref=REP-33166-03225&token=09055af1e6c7132e8b98ee2697e2e1e1||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-33166/03225||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-33171/02592|REPARACIÓN SERVI 33171||Sí|Sí|No|product|45|29,25|http://server7/qr-almacen/?ref=REP-33171-02592&token=83ca5ecf2329d0bcb8ed49e1a730de9f||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-33171/02592||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-33174/01922|REPARACION EQUIPO||Sí|Sí|No|product|45|29,25|http://server7/qr-almacen/?ref=REP-33174-01922&token=eea1c06b1a0f643f8c7bab6434c4c389||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-33174/01922||year|15|day|No||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-33178/02015|REPARACION EQUIPO||Sí|Sí|No|product|45|29,25|http://server7/qr-almacen/?ref=REP-33178-02015&token=d12794d5b151b745266cc1bbfcec13a5||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-33178/02015||year|15|day|No||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-33180/02219|REPARACIÓN EQUIPO||Sí|Sí|No|product|67,5|43,875|http://server7/qr-almacen/?ref=REP-33180-02219&token=90fe74d5ca4555bcac8526e2a2a6dbb5||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-33180/02219||year|15|day|No||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-33180/02423|REPARACIÓN EQUIPO||Sí|Sí|No|product|45|29,25|http://server7/qr-almacen/?ref=REP-33180-02423&token=686b17ee6df18df80378a9a3a06fedeb||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-33180/02423||year|15|day|No||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-33183/01749|REPARACION EQUIPO 33183||Sí|Sí|No|product|45|29,25|http://server7/qr-almacen/?ref=REP-33183-01749&token=03c2dbb74851b92e64fae013890c88e6||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-33183/01749||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-33183/02243|REPARACIÓN EQUIPO||Sí|Sí|No|product|67,5|43,875|http://server7/qr-almacen/?ref=REP-33183-02243&token=053a17aa3e0f522f4774d54206d71234||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-33183/02243||year|15|day|No||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-33183/02423|REPARACIÓN EQUIPO||Sí|Sí|No|product|162,60512|105,69333|http://server7/qr-almacen/?ref=REP-33183-02423&token=21a057accd3467c672387b0045db6185||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-33183/02423||year|15|day|No||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-33195/01469|Reparación equipo con s/n 33195||Sí|Sí|No|product|196,999492307692|128,04967|http://server7/qr-almacen/?ref=REP-33195-01469&token=97a34e595edebed62aca6d4fa40f23fa||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-33195/01469||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-33195/02459|REPARACIÓN SERVI 33195||Sí|Sí|No|product|74,25171|48,26361|http://server7/qr-almacen/?ref=REP-33195-02459&token=f00b5f6f10193e3546e646f8a6c8136f||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-33195/02459||year|15|day|No||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-33204/01779|REPARACION EQUIPO||Sí|Sí|No|product|45|29,25|http://server7/qr-almacen/?ref=REP-33204-01779&token=1ab243b3f53402d0af85ab90b007ac86||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-33204/01779||year|15|day|No||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-33204/02930|REPARACIÓN PPR/6210 - 33204||Sí|Sí|No|product|67,5|43,875|http://server7/qr-almacen/?ref=REP-33204-02930&token=e600792ab9bce005d8cc63fc48164e3e||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-33204/02930||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-33206/03092|REPARACIÓN PPR/6640 - 33206||Sí|Sí|No|product|96,7526|62,88919|http://server7/qr-almacen/?ref=REP-33206-03092&token=aca65d2901fc7ef4dd2befdd61faa2b2||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-33206/03092||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-33213/01851|REPARACION EQUIPO||Sí|Sí|No|product|45|29,25|http://server7/qr-almacen/?ref=REP-33213-01851&token=61e6828379bccfd390c175729a29a8c3||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-33213/01851||year|15|day|No||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-33226/01615|REPARACION EQUIPO CON S/N: 33226||Sí|Sí|No|product|45|29,25|http://server7/qr-almacen/?ref=REP-33226-01615&token=01d14e7992dda9a96cd412cd68112009||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-3326/01615||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-33239/03210|REPARACIÓN PPR/6836 - 33239||Sí|Sí|No|product|96,75305|62,88948|http://server7/qr-almacen/?ref=REP-33239-03210&token=722c2b253cc18c02639dda6929ea6dda||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-33239/03210||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-33242/03092|REPARACIÓN PPR/6642 - 33242||Sí|Sí|No|product|67,5|43,875|http://server7/qr-almacen/?ref=REP-33242-03092&token=b36f57c760ca3aab5b459d3d544186b1||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-33242/03092||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-33250/01452|REPARACION EQUIPO||Sí|Sí|No|product|159,884615384615|103,925|http://server7/qr-almacen/?ref=REP-33250-01452&token=7f756c9e1ab2a7e77033698dc173ef31||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-33250/01452||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-33267/01615|REPARACIÓN EQUIPO||Sí|Sí|No|product|375,004153846154|243,7527|http://server7/qr-almacen/?ref=REP-33267-01615&token=255a69e11dc291ff44ecf0b5059ad9f2||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-33267/01615||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-33267/02243|REPARACIÓN EQUIPO||Sí|Sí|No|product|45|29,25|http://server7/qr-almacen/?ref=REP-33267-02243&token=a51aa73e9fad2fe7fba387b425a868a9||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-33267/02243||year|15|day|No||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-33281/01530|REPARACION EQUIPO||Sí|Sí|No|product|177,591184615385|115,43427|http://server7/qr-almacen/?ref=REP-33281-01530&token=8debb052a064d216cbfda0ae7ed017e8||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-33281/01530||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-33286/02996|REPARACIÓN PPR/6470 - 33286||Sí|Sí|No|product|896,02006|582,41304|http://server7/qr-almacen/?ref=REP-33286-02996&token=a9cc14bc764517376019a5d234e8f10f||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-33286/02996||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-33289/01570|REPARACION EQUIPO||Sí|Sí|No|product|342,242538461538|222,45765|http://server7/qr-almacen/?ref=REP-33289-01570&token=3dd22802009cf08452fcdd73025e0845||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-33289/01570||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-33289/01682|REPARACION EQUIPO CON S/N: 33289||Sí|Sí|No|product|315,156153846154|204,8515|http://server7/qr-almacen/?ref=REP-33289-01682&token=3bf0e116f54995d6900390bea95dadd2||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-33289/01682||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-33291/02958|REPARACIÓN 33291 SERVI||Sí|Sí|No|product|463,57737|301,32529|http://server7/qr-almacen/?ref=REP-33291-02958&token=31422968803183739d169ff95820f814||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-33291/02958||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-33293/01984|REPARACIÓN EQUIPO||Sí|Sí|No|product|366,702738461538|238,35678|http://server7/qr-almacen/?ref=REP-33293-01984&token=85af3c64ce2d30c668ff008f2f0ddea7||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-33293/01984||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-33295/01125|REPARACION EQUIPO CON S/N 33295||Sí|Sí|No|product|76,7245846153846|49,87098|http://server7/qr-almacen/?ref=REP-33295-01125&token=f85db9ac23e12a18717b1ec4865a97d1||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-33295/01125||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-33295/03228|REPARACIÓN PPR/6854 - 33295||Sí|Sí|No|product|67,5|43,875|http://server7/qr-almacen/?ref=REP-33295-03228&token=f885cb1133c1ba5e45bab084da5144f6||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-33295/03228||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-33297/02219|REPARACIÓN EQUIPO||Sí|Sí|No|product|245,511707692308|159,58261|http://server7/qr-almacen/?ref=REP-33297-02219&token=46aa50f74c75a20fdd29ffcd7226baa7||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-33297/02219||year|15|day|No||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-333000/01958|REPARACION EQUIPO||Sí|Sí|No|product|45|29,25|http://server7/qr-almacen/?ref=REP-333000-01958&token=52cbd3b82f82b60163386c3e9061b857||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-333000/01958||year|15|day|No||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-33305/02459|REPARACIÓN EQUIPO||Sí|Sí|No|product|316,73388|205,87702|http://server7/qr-almacen/?ref=REP-33305-02459&token=21c2db0c0d23f370b79e4f84bf7edb38||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-33305/02459||year|15|day|No||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-33306/01663|REPARACION EQUIPO CON S/N: 33306||Sí|Sí|No|product|353,250246153846|229,61266|http://server7/qr-almacen/?ref=REP-33306-01663&token=ed06044a186fbd01fd7e4345a88653de||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-33306/01663||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-33306/01899|REPARACION EQUIPO||Sí|Sí|No|product|49,8159692307692|32,38038|http://server7/qr-almacen/?ref=REP-33306-01899&token=4e2400f4a3fbd0f3ad9b5efb39592c72||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-33306/01899||year|15|day|No||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-33306/02592|REPARACIÓN 33306 SERVI||Sí|Sí|No|product|280,61538|182,4|http://server7/qr-almacen/?ref=REP-33306-02592&token=60a8c09f9fb595a6cd937d02a4aea52d||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-33306/02592||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-33308/02958|REPARACIÓN 33308 SERVI||Sí|Sí|No|product|301,80314|196,17204|http://server7/qr-almacen/?ref=REP-33308-02958&token=40878799b3e1e758ad6b0559d8171483||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-33308/02958||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-33308/03823|REPARACIÓN 33308||Sí|Sí|No|product|509,84762|331,40095|http://server7/qr-almacen/?ref=REP-33308-03823&token=f88a0be896a9895b9080ed4841fb4916||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-33308/03823||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-33310/02752|REPARACIÓN SERVI 33310||Sí|Sí|No|product|267,01418|173,55922|http://server7/qr-almacen/?ref=REP-33310-02752&token=0daa5cadfe0c182eb61df0c8d852f315||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-33310/02752||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-33310/03909|REPARACIÓN 33310||Sí|Sí|No|product|643,61465|418,34952|http://server7/qr-almacen/?ref=REP-33310-03909&token=d0646fe7b3e562b2e9dd885c5a254dca||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-33310/03909||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-33317/02113|REPARACIÓN EQUIPO||Sí|Sí|No|product|0|0|http://server7/qr-almacen/?ref=REP-33317-02113&token=7c3a9d370f9eda3f4f60f34314e763ef||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-33317/02113||year|15|day|No||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-33317/03298|REPARACIÓN PPR/7004 - 33317||Sí|Sí|No|product|67,5|43,875|http://server7/qr-almacen/?ref=REP-33317-03298&token=fdfebc51e48016f9770c33bfd804793b||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-33317/03298||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-33323/02243|REPARACIÓN EQUIPO||Sí|Sí|No|product|237,893384615385|154,6307|http://server7/qr-almacen/?ref=REP-33323-02243&token=5feb3b622ea08f83f7e636b457a75940||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-33323/02243||year|15|day|No||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-33328/02930|REPARACIÓN 33328 SERVI||Sí|Sí|No|product|710,45614|461,79649|http://server7/qr-almacen/?ref=REP-33328-02930&token=96157fd753a26403e3c0810ee8964e03||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-33328/02930||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-33328/03909|REPARACIÓN 33328||Sí|Sí|No|product|93,89206|61,02984|http://server7/qr-almacen/?ref=REP-33328-03909&token=13ca39aff9e228093e4c26d0c17d71e8||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-33328/03909||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-33334/01899|REPARACION EQUIPO||Sí|Sí|No|product|486,591076923077|316,2842|http://server7/qr-almacen/?ref=REP-33334-01899&token=ab1f3ae7bacbb380046a8edfd717133f||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-33334/01899||year|15|day|No||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-33337/02423|REPARACIÓN EQUIPO||Sí|Sí|No|product|290,52317|188,84006|http://server7/qr-almacen/?ref=REP-33337-02423&token=bfd6764ed58b3e649c85c63711d926dc||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-33337/02423||year|15|day|No||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-33337/02752|REPARACIÓN 33337 SERVI||Sí|Sí|No|product|531,1758|345,26427|http://server7/qr-almacen/?ref=REP-33337-02752&token=2168b41a79bbb4adab87e36f5e85b388||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-33337/02752||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
